Maternal Mortality Change,Maternal Mortality,Malaria Cases Change,Malaria Cases,Neonatal Mortality Change,Neonatal Mortality,GDP Change,GDP per capita,Pupil Teacher Ratio,Pupil Teacher Ratio Change,Tuberculosis Incidents Change,Tuberculosis Incidents,Country,Measles Vaccine,Measles Vaccines,Hib3 Immunizations %,Hib3 Immunizations,Water Services,Water Services Access
-105,Significant decrease,272883,Significant increase,-3,Decrease,3.996154052,Increase,,,-8,Decrease,MDG,-7,Decrease,6,Increase,7.088410856,Increased
-111,Significant decrease,6997799,Significant increase,-4,Decrease,-42.25520465,Decrease,,,6,Increase,MOZ,3,Increase,6,Increase,13.38318598,Increased
-1,No change,-4928,Decrease,0,No change,777.1746098,Increase,,,19,Increase,MYS,-2,Stayed the same,0,Stayed the same,-0.221397395,Decreased
-59,Significant decrease,24642,Increase,-1,Decrease,-538.3817366,Decrease,,,-288,Significant decrease,NAM,0,Stayed the same,2,Increase,2.074597103,Increased
1,No change,-7,No change,0,No change,-4559.518301,Significant decrease,,,-3,No change,OMN,0,Stayed the same,0,Stayed the same,7.568686367,Increased
-13,Moderate decrease,25077,Increase,-2,Decrease,1122.642503,Significant increase,,,-14,Decrease,PER,-6,Decrease,-4,Decrease,3.351295113,Increased
-16,Moderate decrease,-10801,Significant decrease,-5,Decrease,,,,,0,No change,PRK,0,Stayed the same,,,,
-22,Moderate decrease,-18,No change,-3,Decrease,963.4752792,Increase,,,-1,No change,PRY,-8,Significant Decrease,1,Stayed the same,8.08451226,Increased
-113,Significant decrease,2741899,Significant increase,-6,Decrease,143.6538554,Increase,,,-21,Decrease,RWA,0,Stayed the same,1,Stayed the same,4.231022898,Increased
-2,No change,243,Increase,-2,Decrease,616.7498492,Increase,,,-9,Decrease,SAU,0,Stayed the same,0,Stayed the same,1.060266917,Increased
-100,Significant decrease,-145542,Significant decrease,-3,Decrease,908.2249692,Increase,,,,,SDN,-4,Decrease,18,Significant Increase,8.346674515,Increased
-117,Significant decrease,19209,Increase,-5,Decrease,-9.937347107,Decrease,,,-10,Decrease,SEN,12,Significant Increase,4,Increase,7.362694675,Increased
-7,Moderate decrease,-7,No change,-2,Decrease,816.8605938,Increase,,,26,Increase,SLV,-2,Stayed the same,4,Increase,,
-120,Significant decrease,11075,Increase,-4,Decrease,,,,,-16,Decrease,SOM,0,Stayed the same,,,10.83589752,Increased
,,-900283,Significant decrease,-3,Decrease,,,,,,,SSD,1,Stayed the same,,,,
-14,Moderate decrease,82,No change,-2,Decrease,-720.809485,Decrease,,,-790,Significant decrease,SWZ,-5,Decrease,1,Stayed the same,,
3,Increase,0,No change,0,No change,,,,,1,No change,SYR,-20,Significant Decrease,-38,Significant Decrease,0.6251561,Stayed the same
-45,Moderate decrease,566164,Significant increase,-3,Decrease,63.55666692,Increase,,,-30,Decrease,TGO,19,Significant Increase,6,Increase,,
-5,No change,-20958,Significant decrease,-1,Decrease,902.2684616,Increase,,,-21,Decrease,THA,1,Stayed the same,,,,
-6,Moderate decrease,-111,Decrease,-4,Decrease,52.96529304,Increase,,,-43,Significant decrease,TJK,3,Increase,4,Increase,9.18998091,Increased
-2,No change,0,No change,-3,Decrease,1950.348026,Significant increase,,,-33,Decrease,TKM,0,Stayed the same,40,Significant Increase,,
